30091
397	2단계	71
398	2만원	57
399	2명	407
400	2배	175
401	2번째	31
402	2분기	135
403	2순위	39
404	2시	346
405	2시간	114
406	2억	168
407	2억원	43
408	2월	444
409	2위	186
410	2인	67
411	2일	289
412	2조	177
413	2조원	69
414	2주	139
415	2차	430
416	2차례	76
417	2천	163
418	2층	177
419	2학년	44
420	2호	61
421	2호선	68
422	2회	236
423	300	199
424	3000	55
425	3000만원	48
426	3000명	32
427	300만	72
428	300만명	36
429	300만원	95
430	300명	56
431	300억원	35
432	300여	65
433	300여명	42
434	30개	63
435	30년	153
436	30대	295
437	30만원	69
438	30명	56
439	30분	369
440	30여명	50
441	30일	426
442	31	402
443	31일	284
444	32	347
445	320	46
446	324	53
447	33	271
448	330	54
449	333	78
450	335	51
451	337	112
452	34	398
453	340	41
454	345	40
455	35	317
456	350	91
457	3500	53
458	357	54
459	36	427
460	360	77
461	37	308
462	370	45
463	38	381
464	380	39
465	39	338
466	398	224
467	3가지	77
468	3개	315
469	3개월	190
470	3개월간	36
471	3건	34
472	3곳	112
473	3국	34
474	3년	441
475	3년간	125
476	3단계	60
477	3당	32
478	3대	134
479	3도	42
480	3만원	70
481	3명	392
482	3배	93
483	3번	35
484	3번째	66
485	3분기	476
486	3사	78
487	3살	113
488	3선	42
489	3세	51
490	3시	160
491	3시간	57
492	3억	136
493	3억원	85
494	3월	688
495	3위	139
496	3인	43
497	3일	341
498	3일간	70
499	3조	99
500	3종	60
501	3주	114
502	3차	515
503	3차례	79
504	3천	138
505	3층	137
506	3학년	45
507	3회	102
508	400	160
509	4000	38
510	400억원	35
511	400여	56
512	400여명	47
513	406	100
514	40개	32
515	40년	52
516	40대	263
517	40만	45
518	40분	81
519	40여	71
520	41	227
521	414	36
522	418	69
523	41개	440
524	42	331
525	42주차	41
526	43	344
527	430	38
528	432	55
529	44	585
530	45	479
531	450	71
532	45분	53
533	46	480
534	47	291
535	48	359
536	49	305
537	4가지	95
538	4개	313
539	4개국	42
540	4개월	81
541	4건	49
542	4곳	49
543	4기	48
544	4년	250
545	4년간	32
546	4년제	35
547	4대	107
548	4명	301
549	4배	40
550	4번	32
551	4번째	35
552	4분기	224
553	4시	322
554	4시간	75
555	4억	103
556	4월	728
557	4위	74
558	4인	34
559	4일	267
560	4조	60
561	4주간	48
562	4차	133
563	4차례	49
564	4척	50
565	4천	119
566	4층	63
567	4호선	56
568	4회	49
569	4회째	38
570	500	212
571	5000	67
572	5000만원	32
573	5000원	42
574	500만	59
575	500만원	86
576	500명	45
577	500억원	56
578	500여	49
579	500여명	36
580	500원	54
581	50개	43
582	50년	82
583	50대	164
584	50만원	60
585	50명	48
586	50분	97
587	50여	77
588	50여개	32
589	50여명	33
590	50주년	36
591	51	416
592	518	32
593	52	405
594	520	57
595	524	33
596	52주	31
597	53	253
598	54	483
599	55	313
600	550	68
601	55분	53
602	56	179
603	568	35
604	57	338
605	58	297
606	580	33
607	59	316
608	5개	352
609	5개월	81
610	5곳	78
611	5년	388
612	5년간	139
613	5대	60
614	5도	36
615	5만원	53
616	5명	262
617	5배	100
618	5백	45
619	5분	114
620	5살	50
621	5세대	36
622	5시	122
623	5억	74
624	5억원	67
625	5월	669
626	5위	71
627	5인	73
628	5인조	99
629	5일	278
630	5일간	68
631	5조	70
632	5주년	35
633	5차	90
634	5차례	36
635	5천	99
636	5층	49
637	5호	52
638	5호선	143
639	5회	40
640	600	92
641	600여	42
642	60년	45
643	60년간	33
644	60달러	64
645	60대	106
646	60만	35
647	60명	33
648	60여	43
649	61	249
650	62	252
651	63	241
652	64	280
653	650	49
654	65세	31
655	66	206
656	67	229
657	670	31
658	68	296
659	69	227
660	6개	723
661	6개월	282
662	6개월간	47
663	6곳	43
664	6공화국	88
665	6년	108
666	6대	98
667	6도	33
668	6명	171
669	6시	405
670	6시45분	31
671	6억	58
672	6월	857
673	6위	56
674	6일	309
675	6조	61
676	6차	44
677	6천	41
678	6층	35
679	6회	37
680	700	59
681	700만	34
682	703	33
683	70년	38
684	70대	60
685	71	384
686	72	199
687	721	1634
688	73	236
689	74	1888
690	75	235
691	750	39
692	76	357
693	77	206
694	78	500
695	79	189
696	7개	198
697	7개월	37
698	7곳	39
699	7공화국	64
700	7년	139
701	7대	41
702	7도	40
703	7만	89
704	7명	124
705	7시	415
706	7시30분	38
707	7시쯤	57
708	7월	998
709	7일	300
710	7조원	48
711	7천	95
712	7층	49
713	7회	33
714	80	570
715	800	79
716	8000원	31
717	800여	34
718	80억원	31
719	81	224
720	82	256
721	820	32
722	822	34
723	83	239
724	84	357
725	85	301
726	850	36
727	86	165
728	87	221
729	87년	68
730	88	219
731	89	142
732	8개	164
733	8개국	52
734	8개월	73
735	8곳	39
736	8년	102
737	8대	45
738	8명	107
739	8시	318
740	8시간	37
741	8억	39
742	8월	1049
743	8일	225
744	8조	49
745	8차례	39
746	8천	108
747	8회	50
748	90	338
749	900	96
750	9000	33
751	900원	76
752	90년대	31
753	90분간	46
754	91	162
755	92	147
756	93	164
757	94	109
758	95	202
759	96	111
760	97	501
761	98	164
762	99	256
763	9개	177
764	9개월	46
765	9년	110
766	9도	47
767	9만	66
768	9명	126
769	9시	530
770	9억	42
771	9월	1113
772	9월말	51
773	9일	174
774	9조	49
775	9천	53
776	9회	77
777	가게	142
778	가격	912
779	가격대	37
780	가계	93
781	가계대출	49
782	가계부채	121
783	가고	133
784	가공	93
785	가구	209
786	가급적	33
787	가기	77
788	가까운	295
789	가까이	353
790	가깝고	41
791	가는	472
792	가능	1823
793	가능성	1524
794	가능합니다	31
795	가동	143
796	가득	401
797	가디언	36
798	가락동	77
799	가량	477
800	가로	251
801	가르	139
802	가리기	43
803	가리지	42
804	가만히	53
805	가맹점	47
806	가면	117
807	가방	176
808	가볍게	62
809	가사	318
810	가사소송법	43
811	가상	124
812	가상현실	86
813	가서	290
814	가세	170
815	가속	70
816	가속화	69
817	가수	984
818	가수들	55
819	가스	101
820	가슴	367
821	가습기	68
822	가습기살균제	54
823	가시적	48
824	가시화	34
825	가야	119
826	가온차트	76
827	가요계	108
828	가운데	2349
829	가운데서	39
830	가위	31
831	가을	693
832	가을철	76
833	가이드	72
834	가이드라인	116
835	가입	227
836	가입자	86
837	가장	3099
838	가전	64
839	가전제품	47
840	가정	369
841	가정법원	62
842	가정집	34
843	가져야	41
844	가족	782
845	가족들	186
846	가죽	63
847	가중	156
848	가지고	477
849	가지는	54
850	가짜	69
851	가창력	49
852	가치	2159
853	가치관	35
854	가하고	58
855	각각	1218
856	각계	34
857	각광	53
858	각국	164
859	각도	44
860	각별	51
861	각본	51
862	각색	35
863	각선미	39
864	각오	152
865	각인	39
866	각자	248
867	각종	1081
868	각지	49
869	간격	51
870	간단	183
871	간담회	372
872	간부	106
873	간부들	35
874	간사	212
875	간섭	43
876	간소화	46
877	간식	57
878	간절	52
879	간접	40
880	간주	86
881	간직	51
882	간판	65
883	간편	85
884	갇혀	34
885	갈등	283
886	갈아	339
887	감각	80
888	감각적	80
889	감기	56
890	감당	88
891	감독	1069
892	감독기관	31
893	감독님	71
894	감동	275
895	감동적	40
896	감면	53
897	감사	684
898	감사합니다	83
899	감산	33
900	감상	197
901	감성	267
902	감성적	57
903	감소	683
904	감소세	40
905	감소시	31
906	감수	57
907	감시	184
908	감식	50
909	감안	327
910	감염	73
911	감염병	33
912	감옥	57
913	감자	83
914	감정	453
915	감지	146
916	감추지	104
917	감축	102
918	감탄	141
919	감행	103
920	갑질	40
921	갓세븐	33
922	갔는데	41
923	갔다	111
924	강간	48
925	강경	108
926	강구	76
927	강국	42
928	강균성	33
929	강남구	783
930	강남권	50
931	강당	38
932	강도	156
933	강동구	49
934	강력	630
935	강렬	290
936	강릉	95
937	강변	32
938	강북경찰서	266
939	강북구	338
940	강사	108
941	강서구	43
942	강성	39
943	강세	185
944	강소기업	48
945	강소영	55
946	강수	100
947	강수지	152
948	강아지	41
949	강연	220
950	강요	100
951	강원	555
952	강원영동	33
953	강의	168
954	강인	83
955	강자	39
956	강점	68
957	강점기	38
958	강정	32
959	강제	233
960	강조	1839
961	강좌	73
962	강진	312
963	강진일기	47
964	강타	67
965	강탈	63
966	강하게	246
967	강한	398
968	강행	66
969	강호동	111
970	강화	1502
971	갖게	121
972	갖기	45
973	갖추고	139
974	갖춰야	37
975	같다고	50
976	같습니다	96
977	같아서	56
978	같이	768
979	같지	128
980	갚지	31
981	개개인	42
982	개관	70
983	개교	53
984	개국	42
985	개그맨	123
986	개그우먼	128
987	개념	148
988	개량	42
989	개막	200
990	개막식	166
991	개막작	43
992	개명	108
993	개발	1326
994	개발사	35
995	개발사업	39
996	개발자	40
997	개발할	41
998	개방	166
999	개별	167
1000	개봉	691
1001	개봉예정	59
1002	개선	1208
1003	개선방안	51
1004	개설	186
1005	개성	183
1006	개소	36
1007	개소식	53
1008	개시	99
1009	개원	36
1010	개의	191
1011	개인	796
1012	개인들	49
1013	개인적	257
1014	개인정보	47
1015	개입	334
1016	개장	90
1017	개정	246
1018	개정안	114
1019	개척	206
1020	개최	1640
1021	개통	172
1022	개편	175
1023	개헌	86
1024	개혁	241
1025	개회사	31
1026	개회식	48
1027	객관적	123
1028	객실	62
1029	객원기자	36
1030	갤노트7	33
1031	갤러리	97
1032	갤럭시	89
1033	갤럭시노트7	152
1034	거기	144
1035	거기서	32
1036	거다	127
1037	거대	150
1038	거두고	33
1039	거듭	528
1040	거듭나기	44
1041	거란	34
1042	거래	649
1043	거래량	88
1044	거래소	49
1045	거래일	84
1046	거론	346
1047	거리	492
1048	거부	373
1049	거실	37
1050	거액	114
1051	거야	97
1052	거울	71
1053	거의	452
1054	거장	39
