term,Category,Freq,Term,Total,loglift,logprob
8931,Topic1,46.53058734706882,판단,3003,0.7936482222432366,0.003187978614042972
885,Topic1,41.27127107663729,갈등,403,0.9653760209508022,0.003184132506716208
1485,Topic1,29.127939998719093,과징금,62,0.995403137996499,0.003144050329166106
8671,Topic1,37.11999424808392,콘텐츠,1399,0.8694646378348556,0.0031340408768679383
9628,Topic1,33.804963378345995,확정,650,0.9305871184164436,0.003084236451307782
2537,Topic1,28.019642936968634,담고,222,0.9724508545821948,0.0030417494014839865
3765,Topic1,48.46861581523538,발표,3168,0.7915308104812357,0.002997546682845231
836,Topic1,28.835986822224143,가입자,160,0.9817267492572375,0.002964094281741866
2681,Topic1,66.68978480644257,대한,9054,0.6445532590989334,0.002949534094748568
1571,Topic2,662.9545244411121,교육,1716,0.9891091509877441,0.03329051379291607
3104,Topic2,193.20296003764525,마스터,229,0.9987172854033133,0.014991092643214694
8782,Topic2,156.53182803512982,텔레콤,402,0.9892464670833074,0.009662801301356853
8793,Topic2,98.02563275340154,토익,106,0.999436406632841,0.008233547760738785
6060,Topic2,150.90451607275475,영어,473,0.9854199875352779,0.007598338731025457
8671,Topic2,134.3536604079566,콘텐츠,1399,0.9387476731357446,0.0067152781674807704
6229,Topic2,88.71007205592976,외국어,143,0.9957756299367118,0.006457034888795411
9224,Topic2,100.65409885147152,학습,301,0.9863901959207529,0.005843397651051234
7563,Topic2,135.59278803830875,제공,5715,0.7780667174466664,0.005282312937293903
6061,Topic2,55.74478590226094,영어교육,61,0.9993469347482791,0.005070315643695075
2712,Topic2,89.34704302088065,데이터,439,0.9735888836985784,0.005046070149194132
4620,Topic2,126.08000725159775,서비스,2828,0.8706610047027761,0.004967650820465235
9109,Topic2,108.25194222901672,프로그램,2648,0.8601165392692433,0.004728243520191441
6738,Topic2,114.26345602391125,이용,2617,0.868182535354303,0.004248083742362295
2624,Topic2,82.12073228084199,대상,2368,0.8382550333107989,0.003660603227738383
5389,Topic2,71.53903734982656,실시,1394,0.886412678616937,0.0035992378067539513
